h,t
0.1453966170048375,3.06
0.17972884851394047,3.07
0.2130092278231799,3.08
0.24511670579570874,3.09
0.2759360727490357,3.1
0.3053583556296141,3.11
0.3332811865899822,3.12
0.35960914179647535,3.13
0.3842540494248424,3.14
0.4071352659332269,3.15
0.42817991983643144,3.16
0.4473231223414443,3.17
0.4645081443416564,3.18
0.47968655940501737,3.19
0.49281835252947287,3.2
0.503871994576524,3.21
0.5128244824302751,3.22
0.5196613450643089,3.23
0.5243766158316452,3.24
0.5269727714233526,3.25
0.5274606380687094,3.26
0.5258592656735188,3.27
0.5221957707129802,3.28
0.5165051488108567,3.29
0.5088300580472065,3.3
0.49922057414223564,3.31
0.48773391876357075,3.32
0.47443416229802216,3.33
0.45939190251649886,3.34
0.4426839206417638,3.35
0.4243928164030175,3.36
0.4046066237285361,3.37
0.38341840878774197,3.38
0.3609258521467136,3.39
0.33723081684646106,3.4
0.3124389042508555,3.41
0.28665899954108537,3.42
0.26000280875574033,3.43
0.2325843892901518,3.44
0.20451967577538033,3.45
0.17592600325648483,3.46
0.14692162958114452,3.47
0.11762525889394684,3.48
0.08815556810832957,3.49
0.05863073819781788,3.5
0.02916799211081467,3.51
-0.0001168589309230118,3.52
-0.029109859040632347,3.53
-0.057699339529123976,3.54
-0.08577633743185799,3.55
-0.11323499917930051,3.56
-0.1399729679631787,3.57
-0.16589175343012777,3.58
-0.19089708241758108,3.59
-0.21489922953459717,3.6
-0.2378133264817399,3.61
-0.25955964909924506,3.62
-0.2800638812307309,3.63
-0.2992573545904255,3.64
-0.31707726392478175,3.65
-0.3334668568640642,3.66
-0.3483755979654627,3.67
-0.36175930655632715,3.68
-0.3735802680934555,3.69
-0.38380731886191316,3.7
-0.3924159039439476,3.71
-0.39938810849488615,3.72
-0.4047126624680233,3.73
-0.40838491903401847,3.74
-0.41040680704181526,3.75
-0.4107867579672537,3.76
-0.4095396078918903,3.77
-0.4066864751478448,3.78
-0.4022546143543078,3.79
-0.3962772476574327,3.8
-0.3887933740673295,3.81
-0.3798475578635539,3.82
-0.3694896971135257,3.83
-0.35777477341651176,3.84
-0.3447625840489253,3.85
-0.330517457744549,3.86
-0.3151079553956612,3.87
-0.2986065570078856,3.88
-0.2810893362825747,3.89
-0.2626356242358335,3.9
-0.24332766329253802,3.91
-0.2232502533170628,3.92
-0.2024903910597353,3.93
-0.1811369045093547,3.94
-0.1592800836473761,3.95
-0.13701130909877296,3.96
-0.11442268016792227,3.97
-0.09160664373558258,3.98
-0.06865562547487168,3.99
-0.04566166482051514,4.0
-0.02271605509652307,4.01
9.100982691039744e-5,4.02
0.022670781015943907,4.03
0.04493629080798458,4.04
0.06680267876092803,4.05
0.08818750603192789,4.06
0.10901105705855335,4.07
0.12919662747647187,4.08
0.14867079727285862,4.09
0.16736368824298473,4.1
0.1852092048887957,4.11
0.20214525797223112,4.12
0.21811397001251007,4.13
0.23306186209489962,4.14
0.2469400214387593,4.15
0.2597042492540933,4.16
0.27131518849847125,4.17
0.28173843122943537,4.18
0.29094460533120897,4.19
0.29890944047819434,4.2
0.3056138132812195,4.21
0.31104377164522423,4.22
0.3151905384490099,4.23
0.31805049473824587,4.24
0.3196251427020008,4.25
0.31992104878026084,4.26
0.3189497673249604,4.27
0.3167277453096908,4.28
0.31327620865322087,4.29
0.30862103078898967,4.3
0.30279258417661026,4.31
0.29582557551189614,4.32
0.28775886544883,4.33
0.2786352736999738,4.34
0.26850137043102473,4.35
0.25740725491022415,4.36
0.24540632241417032,4.37
0.2325550204279974,4.38
0.2189125952098914,4.39
0.20454082981731356,4.4
0.18950377471516375,4.41
0.17386747210421805,4.42
0.15769967512175778,4.43
0.1410695630750148,4.44
0.12404745387225538,4.45
0.1067045148157627,4.46
0.0891124729159078,4.47
0.07134332587581395,4.48
0.05346905488208719,4.49
0.035561340318561244,4.5
0.01769128149746538,4.51
-7.087852446498157e-5,4.52
-0.01765602200805743,4.53
-0.03499641846958273,4.54
-0.05202597853027821,4.55
-0.06868049875477963,4.56
-0.08489789660064291,4.57
-0.10061843464886085,4.58
-0.11578493333595236,4.59
-0.13034297146135493,4.6
